commit	nmse_db	acpr_after_dbc	status	description
c39a16a	-27.74	-24.48	keep	baseline MP order=7 memory=3 3-iter ILA
ee88251	-31.29	-24.47	keep	reduce ILA to 1 iteration
67fa901	-26.98	-24.11	discard	order=11 memory=5 (overfitting)
43f0fd0	-29.27	-24.34	discard	order=9 memory=4 reg=1e-4 (regularization too strong)
fdf0811	-31.30	-24.48	keep	GMP with cross-terms (40 coefficients)
134c3c7	-28.03	-24.40	discard	damped ILA 5 iters alpha=0.3 (ACPR unchanged)
f5b2d71	-28.26	-24.24	discard	direct learning (DL degraded over iters)
7c13a34	-25.53	-24.24	discard	LUT+FIR Hammerstein (FIR refinement degraded)
425a8d5	-27.12	-24.34	discard	LUT-only (no FIR)
b57cc6e	-28.97	-24.32	discard	large GMP 102 coeffs (overfitting, ACPR same)
ea42b68	-28.65	-24.32	discard	NN DPD 3-layer 64h (ACPR still -24)
87133e8	-30.48	-30.67	keep	GMP baseline on band-limited signal
57fc64a	-28.19	-30.10	discard	larger GMP 102 coeffs (overfitting)
584872c	-28.18	-30.36	discard	2 damped ILA iters (worse than 1-iter)
0aa8921	-27.57	-30.73	keep	GMP + DPD output filter (3x BW)
01e64a6	-26.29	-30.67	discard	wider filter 5x BW (group delay artifacts)
